user_pseudo_id,first_date,segment_72h,search_72h,view_item_72h,scroll_72h,add_to_cart_72h,begin_checkout_72h,purchase_72h,sessions_72h,view_item_events_72h,retained_post72h_d30
3219216.0040405985,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
3283073.2661052539,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
3283824.1278079595,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
3317865.8397073889,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
3358086.8740995927,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,1
3502271.1055214658,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
3555171.9381083638,2020-12-27,product_viewer_scroll_72h,0,1,1,0,0,0,4,3,0
3556865.3400252501,2020-12-27,product_viewer_scroll_72h,0,1,1,1,0,0,1,13,0
3681961.2756030387,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
3745071.7027428818,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
3747586.8676017423,2020-12-27,low_engagement_72h,0,0,1,0,0,0,4,0,0
3815757.6914087623,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
3843734.7893596337,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
3870867.0002021950,2020-12-27,product_viewer_scroll_72h,0,1,1,0,0,0,1,1,0
3922173.9632636500,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
4110556.2598366100,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
4151657.1878041279,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
4189247.2214965431,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
4230297.2503743574,2020-12-24,product_viewer_scroll_72h,1,1,1,1,0,0,4,10,0
4311287.5387071364,2020-12-27,product_viewer_scroll_72h,0,1,1,0,0,0,1,3,0
4618573.2405908080,2020-12-27,product_viewer_scroll_72h,0,1,1,1,0,0,1,5,0
4689784.1531150788,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
4747938.5239113827,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
4761865.1320137424,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
4762318.7631359667,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
4820771.1134795239,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
5141007.3735028904,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
5174493.3397636234,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
5249526.3186738582,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
5324734.4262217630,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
5393585.3283956758,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
5559043.1790592937,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
5568544.3515791629,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
5600280.5443070997,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
5611439.2376755148,2020-12-27,product_viewer_scroll_72h,0,1,1,0,0,0,1,1,0
6286759.5679407593,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
6320076.8656035517,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
